slug,title,post_url,category,github_url,github_path,zip_folder,has_matching_source_url,mapped_source_title,notes
child-poverty-before-housing-costs-in-the-greater-west-of-england-(children-aged-0-15),"Child poverty before housing costs in the Greater West of England (Children, aged 0-15)",https://www.thebrunelcentre.co.uk/data-hub/child-poverty-before-housing-costs-in-the-greater-west-of-england-(children-aged-0-15),poverty-and-deprivation,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/poverty-and-deprivation/Child%20Poverty%20Before%20Housing%20Costs,data/poverty-and-deprivation/Child Poverty Before Housing Costs,Datahub-data-main/data/poverty-and-deprivation/Child poverty BHC in the Greater West of England (0-15),yes,"Child poverty before housing costs in the Greater West of England (Children, aged 0-15)",
child-poverty-before-housing-costs-in-the-greater-west-of-england-(dependent-children-aged-0-19),"Child poverty before housing costs in the Greater West of England (Dependent children, aged 0-19)",https://www.thebrunelcentre.co.uk/data-hub/child-poverty-before-housing-costs-in-the-greater-west-of-england-(dependent-children-aged-0-19),poverty-and-deprivation,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/poverty-and-deprivation/Child%E2%80%AFpoverty%20BHC%20in%20the%E2%80%AFGreater%20West%20of%20England%E2%80%AF(0-19),data/poverty-and-deprivation/Child poverty BHC in the Greater West of England (0-19),Datahub-data-main/data/poverty-and-deprivation/Child poverty BHC in the Greater West of England (0-19),yes,"Child poverty before housing costs in the Greater West of England (Dependent children, aged 0-19)",
commuting-between-local-authorities-in-the-greater-west-of-england-2021,"Commuting between local authorities in the Greater West of England, 2021",https://www.thebrunelcentre.co.uk/data-hub/commuting-between-local-authorities-in-the-greater-west-of-england-2021,transport,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/transport/Commuting%20between%20local%20authorities%20in%20the%20Greater%20West%20of%20England%2C%202021,"data/transport/Commuting between local authorities in the Greater West of England, 2021","Datahub-data-main/data/transport/Commuting between local authorities in the Greater West of England, 2021",yes,"Commuting between local authorities in the Greater West of England, 2021",
travel-to-work-in-the-greater-west-of-england-distance-travelled-and-mode-of-transport-2021,"Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021",https://www.thebrunelcentre.co.uk/data-hub/travel-to-work-in-the-greater-west-of-england-distance-travelled-and-mode-of-transport-2021,transport,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/transport/Travel%20to%20work%20in%20the%20Greater%20West%20of%20England%3A%20Distance%20travelled%20and%20mode%20of%20transport%2C%202021,"data/transport/Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021","Datahub-data-main/data/transport/Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021",yes,"Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021",
travel-time-to-major-employment-centres-in-the-greater-west-of-england-2019,"Travel time to major employment centres in the Greater West of England, 2019",https://www.thebrunelcentre.co.uk/data-hub/travel-time-to-major-employment-centres-in-the-greater-west-of-england-2019,transport,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/transport/Travel%20time%20to%20major%20employment%20centres%20in%20the%20Greater%20West%20of%20England%2C%202019,"data/transport/Travel time to major employment centres in the Greater West of England, 2019","Datahub-data-main/data/transport/Travel time to major employment centres in the Greater West of England, 2019",yes,"Travel time to major employment centres in the Greater West of England, 2019",
access-to-key-services-in-the-greater-west-of-england-schools-town-centres-and-hospitals-2019,"Access to key services in the Greater West of England: schools, town centres and hospitals, 2019",https://www.thebrunelcentre.co.uk/data-hub/access-to-key-services-in-the-greater-west-of-england-schools-town-centres-and-hospitals-2019,transport,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/transport/Access%20to%20key%20services%20in%20the%20Greater%20West%20of%20England%3A%20schools%2C%20town%20centres%20and%20hospitals,"data/transport/Access to key services in the Greater West of England: schools, town centres and hospitals","Datahub-data-main/data/transport/Access to key services in the Greater West of England: schools, town centres and hospitals",yes,"Access to key services in the Greater West of England: schools, town centres and hospitals, 2019",
child-poverty-after-housing-costs-in-the-west-of-england-area-2023-24,"Child poverty after housing costs in the West of England area, 2023/24",https://www.thebrunelcentre.co.uk/data-hub/child-poverty-after-housing-costs-in-the-west-of-england-area-2023-24,poverty-and-deprivation,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/poverty-and-deprivation/Child%20Poverty%20(After%20Housing%20Costs),data/poverty-and-deprivation/Child Poverty (After Housing Costs),Datahub-data-main/data/poverty-and-deprivation/Child Poverty (After Housing Costs),yes,"Child poverty after housing costs in the West of England area, 2023/24",
additional-regional-data-on-child-poverty-in-the-south-west-of-england,Additional regional data on child poverty in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/additional-regional-data-on-child-poverty-in-the-south-west-of-england,poverty-and-deprivation,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/poverty-and-deprivation/Additional%20Regional%20Data,data/poverty-and-deprivation/Additional Regional Data,Datahub-data-main/data/poverty-and-deprivation/Additional Regional Data,yes,Additional regional data on child poverty in the South West of England,
additional-local-detail-in-the-greater-west-of-england-2023-24,"Additional local detail in the Greater West of England, 2023/24",https://www.thebrunelcentre.co.uk/data-hub/additional-local-detail-in-the-greater-west-of-england-2023-24,poverty-and-deprivation,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/poverty-and-deprivation/Additional%20Local%20Detail,data/poverty-and-deprivation/Additional Local Detail,Datahub-data-main/data/poverty-and-deprivation/Additional Local Detail,yes,"Additional local detail in the Greater West of England, 2023/24",
population-change-comparisons-in-the-greater-west-of-england-1991–2024,"Population change comparisons in the Greater West of England, 1991–2024",https://www.thebrunelcentre.co.uk/data-hub/population-change-comparisons-in-the-greater-west-of-england-1991–2024,population,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/population/Population%20change%20comparisons%20in%20the%20Greater%20West%20of%20England%2C%201991%E2%80%932024,"data/population/Population change comparisons in the Greater West of England, 1991–2024","Datahub-data-main/data/population/Population change comparisons in the Greater West of England, 1991–2024",no,,
