id,title,url,registry_type,source_type,section,tags,date,geography,topic_group,used_in_data_hub_catalogue,used_in_research_catalogue,used_in_policy_catalogue,used_in_grounded_qa,valid_url,notes
home,The Brunel Centre homepage,https://www.thebrunelcentre.co.uk/,webpage,sitePage,home,about|overview,,,Other,no,no,no,yes,yes,
about,About the Brunel Centre,https://www.thebrunelcentre.co.uk/about-us,webpage,sitePage,about-us,about,,,Other,no,no,no,yes,yes,
data-hub,Data Hub landing page,https://www.thebrunelcentre.co.uk/data-hub,webpage,dataHubLanding,data-hub,data-hub|overview,,,Other,no,no,no,yes,yes,
research,Research landing page,https://www.thebrunelcentre.co.uk/research,webpage,researchLanding,research,research|overview,,,Other,no,no,no,yes,yes,
consultancy,Consultancy,https://www.thebrunelcentre.co.uk/consultancy,webpage,otherPage,consultancy,consultancy,,,Other,no,no,no,yes,yes,
data-hub-child-poverty-before-housing-costs-in-the-greater-west-of-england-(children-aged-0-15),"Child poverty before housing costs in the Greater West of England (Children, aged 0-15)",https://www.thebrunelcentre.co.uk/data-hub/child-poverty-before-housing-costs-in-the-greater-west-of-england-(children-aged-0-15),webpage,dataHubPost,data-hub,data-hub|inequality|population,,Greater West of England,Housing,yes,no,no,yes,yes,
data-hub-child-poverty-before-housing-costs-in-the-greater-west-of-england-(dependent-children-aged-0-19),"Child poverty before housing costs in the Greater West of England (Dependent children, aged 0-19)",https://www.thebrunelcentre.co.uk/data-hub/child-poverty-before-housing-costs-in-the-greater-west-of-england-(dependent-children-aged-0-19),webpage,dataHubPost,data-hub,data-hub|inequality|population,,Greater West of England,Housing,yes,no,no,yes,yes,
data-hub-commuting-between-local-authorities-in-the-greater-west-of-england-2021,"Commuting between local authorities in the Greater West of England, 2021",https://www.thebrunelcentre.co.uk/data-hub/commuting-between-local-authorities-in-the-greater-west-of-england-2021,webpage,dataHubPost,data-hub,data-hub|transport,,Greater West of England,Transport and infrastructure,yes,no,no,yes,yes,
data-hub-travel-to-work-in-the-greater-west-of-england-distance-travelled-and-mode-of-transport-2021,"Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021",https://www.thebrunelcentre.co.uk/data-hub/travel-to-work-in-the-greater-west-of-england-distance-travelled-and-mode-of-transport-2021,webpage,dataHubPost,data-hub,data-hub|transport,,Greater West of England,Transport and infrastructure,yes,no,no,yes,yes,
data-hub-travel-time-to-major-employment-centres-in-the-greater-west-of-england-2019,"Travel time to major employment centres in the Greater West of England, 2019",https://www.thebrunelcentre.co.uk/data-hub/travel-time-to-major-employment-centres-in-the-greater-west-of-england-2019,webpage,dataHubPost,data-hub,data-hub|transport|infrastructure,,Greater West of England,Transport and infrastructure,yes,no,no,yes,yes,
